term,category,tier,description
创新,technology_innovation,core,创新活动与创新能力
科技创新,technology_innovation,core,科技创新活动
研发,technology_innovation,core,研发投入与研发活动
研究开发,technology_innovation,core,研究开发活动
技术创新,technology_innovation,core,技术创新活动
关键核心技术,technology_innovation,core,关键核心技术攻关
科技成果,technology_innovation,core,科技成果产出
成果转化,technology_innovation,core,科技成果转化
高新技术,technology_innovation,core,高新技术活动
技术攻关,technology_innovation,core,技术攻关
专精特新,technology_innovation,core,专精特新企业与创新
制造业,manufacturing_upgrade,core,制造业发展
先进制造,manufacturing_upgrade,core,先进制造业
智能制造,manufacturing_upgrade,core,智能制造
工业,manufacturing_upgrade,core,工业发展
工业互联网,manufacturing_upgrade,core,工业互联网
技术改造,manufacturing_upgrade,core,技术改造
产业升级,manufacturing_upgrade,core,产业升级
产业链,manufacturing_upgrade,core,产业链建设
供应链,manufacturing_upgrade,core,供应链建设
产业基础,manufacturing_upgrade,core,产业基础能力
数字经济,digital_economy,core,数字经济
数字化,digital_economy,core,数字化转型
人工智能,digital_economy,core,人工智能
大数据,digital_economy,core,大数据
云计算,digital_economy,core,云计算
5G,digital_economy,core,第五代移动通信
算力,digital_economy,core,算力基础设施
软件,digital_economy,core,软件产业
信息技术,digital_economy,core,信息技术
信息化,digital_economy,core,信息化建设
绿色发展,green_transition,core,绿色发展
绿色制造,green_transition,core,绿色制造
低碳,green_transition,core,低碳发展
节能,green_transition,core,节能降耗
新能源,green_transition,core,新能源
清洁能源,green_transition,core,清洁能源
碳达峰,green_transition,core,碳达峰
碳中和,green_transition,core,碳中和
绿色转型,green_transition,core,绿色转型
战略性新兴产业,emerging_industry,core,战略性新兴产业
新兴产业,emerging_industry,core,新兴产业
高技术产业,emerging_industry,core,高技术产业
现代产业体系,emerging_industry,core,现代产业体系
产业集群,emerging_industry,core,产业集群
产业园区,emerging_industry,core,产业园区
未来产业,emerging_industry,core,未来产业
企业,enterprise_support,context,企业主体
民营企业,enterprise_support,context,民营企业
中小企业,enterprise_support,context,中小企业
小微企业,enterprise_support,context,小微企业
融资,enterprise_support,context,融资支持
税费,enterprise_support,context,税费支持
补贴,enterprise_support,context,补贴支持
营商环境,enterprise_support,context,营商环境
人才,talent,context,人才支持
高层次人才,talent,context,高层次人才
科技人才,talent,context,科技人才
创新人才,talent,context,创新人才
引才,talent,context,人才引进
人才培养,talent,context,人才培养
