item,value,status,reason
population,Chinese mainland A-share listed companies,frozen,Formal research population
markets,SSE;SZSE;BSE,frozen,All three mainland A-share exchanges
unit_of_analysis,firm-year,frozen,Panel observation unit
profile_start_year,2020,frozen,Profile and financial preparation window
profile_end_year,2025,frozen,Profile and financial preparation window
financial_start_year,2020,frozen,Financial collection window
financial_end_year,2025,frozen,Financial collection window
primary_patent_start_year,2020,frozen,Primary patent analysis window
primary_patent_end_year,2024,frozen,Application-year right-censoring protection
patent_year_basis,application_year,frozen,Closer to innovation timing than grant year
patent_types,invention_applications+utility_model_applications,frozen,Primary patent quantity definition
design_patent_rule,exclude_from_patent_total,frozen,Retain design_patents for audit only
financial_firm_exclusion,exclude_financial_industry,frozen,Use formal industry classification
st_baseline_rule,retain_st_and_star_st,frozen,Do not outcome-selectively remove ST firms
province_definition,historical_firm_year_registered_province_preferred,frozen,Policy matching geography
financial_statement_scope,consolidated,frozen,Keep accounting scope consistent
primary_policy_metric,policy_continuity_tfidf,frozen,Inherited from Chapter 3 design
zero_semantics,source_dependent_before_4_4,pending,Requires complete universe and source documentation
missing_semantics,source_dependent_before_4_4,pending,Requires coverage and entity-matching audit
citation_rule,optional_only_if_comparable,pending,Requires citation definition and common window
source_access_status,CNIPA_REGISTRATION_REQUIRED,pending,CNIPA is the selected free patent source; formal collection waits for user registration and legal access
free_profile_source,EastMoney F10 RPT_F10_BASIC_ORGINFO,frozen_for_profile_gate,5690 firm-level records returned legal name province industry and ORG_CODE
free_financial_source,AKShare/EastMoney public statements,frozen_for_pilot,Core financial fields resolved on 60 of 60 pilot firm-years; R&D is 57 of 60
free_employee_source,AKShare/EastMoney F10 indicator,frozen_for_pilot,STAFF_NUM returned for 60 of 60 pilot firm-years and varied across all 20 firms
free_financial_core_status,READY_FOR_FULL_FINANCIAL_FETCH,pilot_audit_complete,SSE and SZSE current nonfinancial core coverage both meet the 90 percent gate; BSE remains separately pending official mapping
free_employee_status,partial_by_stratum,pilot_audit_complete,Employee coverage is retained as observed and missingness is not recoded to zero
free_patent_source,CNIPA official patent data,pending_user_registration,Formal collection requires user registration; no automated patent download in this phase
patent_entity_scope,listed_entity_only,frozen_for_primary,Use listed legal entity and verified historical legal names; do not add subsidiaries or aliases automatically
real_company_universe_status,PROFILE_AND_SSE_SZSE_FINANCIAL_GATE_PASS,frozen_for_phase,"5,690 firms and 30,328 firm-years; Profile gate passes and both SSE/SZSE current nonfinancial financial gates pass"
bse_mapping_status,OFFICIAL_FILE_REQUIRED,pending_user_registration,Use the official BSE old/new code table as a local input; never infer old codes by prefix replacement
full_financial_pipeline_status,SSE_SZSE_FULL_FETCH_COMPLETE,phase_a_complete,53 chunks completed for 5272 SSE/SZSE nonfinancial firms and 28548 firm-years; final panel and Stata validation passed
full_financial_fetch_status,SSE_SZSE_FULL_FETCH_COMPLETE,complete_for_sse_szse_phase,Phase A has 5008 COMPLETE 4 PARTIAL and 260 QUERY_FAILED firms with no NOT_FETCHED or SOURCE_BLOCKED firms; Stata full validation passed
historical_province_status,HISTORICAL_PROVINCE_FULL_COMPLETE,engineering_complete,"5,272 SSE/SZSE nonfinancial firms and 28,548 legal firm-years; 23,944 historical_confirmed, 2,462 historical_inferred, 2,110 static_fallback_only, 32 missing, 4 unresolved conflicts; exact-key validation and Stata/MP 18 validation passed"
historical_province_research_gate,HISTORICAL_PROVINCE_RESEARCH_GATE_PASS,passed,"SSE current historical coverage 92.44%; SZSE current 94.05%; exact keys, duplicate, illegal firm-year, conflict-rate, and static-primary integrity checks passed"
historical_province_source,CNINFO official annual reports and dated address-change records,completed_for_phase,"H1 annual-report snapshots and H2 effective-date evidence; current EastMoney F10 profile remains static fallback only"
historical_province_policy_geography,31 mainland provincial-level regions plus Hong Kong SAR represented,geography_audit_complete,"Historical firm-year geography includes 31 mainland regions and Hong Kong; national policy corpus now covers all 31 mainland regions for 2019-2025; Hong Kong remains outside mainland policy scope"
full_financial_canary,200_firms_1114_firm_years,canary_audit_complete,Current SSE/SZSE core completeness is 100 percent by exchange; second pass cache hit 200 of 200
full_financial_bse_status,BSE_MAPPING_REQUIRED,pending_official_mapping,BSE remains outside the formal fetch phase until the official old/new code table is supplied
national_policy_corpus_status,NATIONAL_POLICY_CORPUS_COMPLETE,complete_for_31_mainland_regions,"217 unique province-year reports for 31 mainland regions in 2019-2025 passed content validation; 48 of 49 legacy raw files and cleaned outputs are unchanged; Jiangsu 2023 was replaced with the complete official report after the prior index page failed full-text validation"
national_policy_metric_status,NATIONAL_POLICY_METRICS_COMPLETE,complete_for_31_mainland_regions,"217 province-year metrics for 31 mainland regions in 2019-2025; 186 valid adjacent-year pairs; recomputed after Jiangsu 2023 source correction; Stata/MP 18 sentinel NATIONAL_POLICY_METRICS_VALIDATION_PASS; no formal enterprise policy merge or regression"
